"Class Code","Class Name","Parameter Code","Parameter"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88164","Vanadium PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88167","Zinc PM2.5 LC"
"CSN DART","List of CSN speciation parameters to populate the STI DART tool","88185","Zirconium PM2.5 LC"
"CSN IONS","Ions measured by the Chemical Speciation Network program","88301","Ammonium Ion PM2.5 LC"
"CSN IONS","Ions measured by the Chemical Speciation Network program","88203","Chloride PM2.5 LC"
"CSN IONS","Ions measured by the Chemical Speciation Network program","88303","Potassium Ion PM2.5 LC"
"CSN IONS","Ions measured by the Chemical Speciation Network program","88302","Sodium Ion Pm2.5 LC"
"CSN IONS","Ions measured by the Chemical Speciation Network program","88403","Sulfate PM2.5 LC"
"CSN IONS","Ions measured by the Chemical Speciation Network program","88306","Total Nitrate PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88104","Aluminum PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88102","Antimony PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88103","Arsenic PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88107","Barium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88109","Bromine PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88110","Cadmium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88111","Calcium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88117","Cerium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88118","Cesium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88115","Chlorine PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88112","Chromium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88113","Cobalt PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88114","Copper PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88131","Indium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88126","Iron PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88128","Lead PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88140","Magnesium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88132","Manganese PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88136","Nickel PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88152","Phosphorus PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88180","Potassium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88176","Rubidium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88154","Selenium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88165","Silicon PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88166","Silver PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88184","Sodium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88168","Strontium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88169","Sulfur PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88160","Tin PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88161","Titanium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88164","Vanadium PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88167","Zinc PM2.5 LC"
"CSN TRACE ELEMENTS","Chemical Speciation Network Trace Elements","88185","Zirconium PM2.5 LC"
"CYLINDER_GASES","Gaseous criteria
pollutants","42101","Carbon monoxide"
"CYLINDER_GASES","Gaseous criteria
pollutants","42601","Nitric oxide (NO)"
"CYLINDER_GASES","Gaseous criteria
pollutants","42603","Oxides of nitrogen (NOx)"
"CYLINDER_GASES","Gaseous criteria
pollutants","42401","Sulfur dioxide"
"DESIGN VALUE","Pollutants with 3-Year Design Values by regulation","14129","Lead (TSP) LC"
"DESIGN VALUE","Pollutants with 3-Year Design Values by regulation","42602","Nitrogen dioxide (NO2)"
"DESIGN VALUE","Pollutants with 3-Year Design Values by regulation","44201","Ozone"
"DESIGN VALUE","Pollutants with 3-Year Design Values by regulation","81102","PM10 Total 0-10um STP"
"DESIGN VALUE","Pollutants with 3-Year Design Values by regulation","88101","PM2.5 - Local Conditions"
"DESIGN VALUE","Pollutants with 3-Year Design Values by regulation","42401","Sulfur dioxide"
"HAPS","Hazardous Air Pollutants","43818","1,1,2,2-Tetrachloroethane"
"HAPS","Hazardous Air Pollutants","43820","1,1,2-Trichloroethane"
"HAPS","Hazardous Air Pollutants","43813","1,1-Dichloroethane"
"HAPS","Hazardous Air Pollutants","43166","1,1-Dichloroethenylidene bis(4-chlorobenzene)"
"HAPS","Hazardous Air Pollutants","43826","1,1-Dichloroethylene"
"HAPS","Hazardous Air Pollutants","16230","1,1-Dimethyl hydrazine"
"HAPS","Hazardous Air Pollutants","51110","1,2,3,4,5,6-Hexachlorocyclohexane -All Steroisomers- including Lindane"
"HAPS","Hazardous Air Pollutants","16919","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin (TSP) STP"
"HAPS","Hazardous Air Pollutants","16926","1,2,3,4,6,7,8-Heptachlorodibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","16927","1,2,3,4,7,8,9-Heptachlorodibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","16922","1,2,3,4,7,8-Hexachlorodibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","16917","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (TSP) STP"
"HAPS","Hazardous Air Pollutants","16923","1,2,3,6,7,8-Hexachlorodibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","16918","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (TSP) STP"
"HAPS","Hazardous Air Pollutants","16925","1,2,3,7,8,9-Hexachlorodibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","16920","1,2,3,7,8-Pentachlorodibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","45810","1,2,4-Trichlorobenzene"
"HAPS","Hazardous Air Pollutants","16725","1,2,4-Trichlorobenzene (TSP) STP"
"HAPS","Hazardous Air Pollutants","51623","1,2-Dibromo-3-Chloropropane"
"HAPS","Hazardous Air Pollutants","43829","1,2-Dichloropropane"
"HAPS","Hazardous Air Pollutants","16232","1,2-Diphenylhydrazine"
"HAPS","Hazardous Air Pollutants","43566","1,2-Epoxybutane"
"HAPS","Hazardous Air Pollutants","16601","1,2-Epoxybutane (TSP)STP"
"HAPS","Hazardous Air Pollutants","16715","1,2-Propylenimine"
"HAPS","Hazardous Air Pollutants","43218","1,3-Butadiene"
"HAPS","Hazardous Air Pollutants","43841","1,3-Dichloropropene(total)"
"HAPS","Hazardous Air Pollutants","16528","1,3-Propane Sultone"
"HAPS","Hazardous Air Pollutants","45807","1,4-Dichlorobenzene"
"HAPS","Hazardous Air Pollutants","16729","1,4-Dichlorobenzene (TSP) STP"
"HAPS","Hazardous Air Pollutants","46201","1,4-Dioxane"
"HAPS","Hazardous Air Pollutants","17153","1-nitropyrene (TSP) STP"
"HAPS","Hazardous Air Pollutants","43250","2,2,4-Trimethylpentane"
"HAPS","Hazardous Air Pollutants","16924","2,3,4,6,7,8-Hexachlorodibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","16921","2,3,4,7,8-Pentachlorodibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","17825","2,3,7,8-Tetrachlorodibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","17324","2,4,5-Trichlorophenol"
"HAPS","Hazardous Air Pollutants","16733","2,4,5-Trichlorophenol (TSP) STP"
"HAPS","Hazardous Air Pollutants","17325","2,4,6-Trichlorophenol"
"HAPS","Hazardous Air Pollutants","16734","2,4,6-Trichlorophenol (TSP) STP"
"HAPS","Hazardous Air Pollutants","54103","2,4-D salts & esters"
"HAPS","Hazardous Air Pollutants","17313","2,4-Dinitrophenol"
"HAPS","Hazardous Air Pollutants","16737","2,4-Dinitrophenol (TSP) STP"
"HAPS","Hazardous Air Pollutants","17724","2,4-Dinitrotoluene"
"HAPS","Hazardous Air Pollutants","16738","2,4-Dinitrotoluene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17726","2,4-Toluene Diamine"
"HAPS","Hazardous Air Pollutants","17906","2,4-Toluene Diisocyanate"
"HAPS","Hazardous Air Pollutants","17140","2,7-dimethylnaphthalene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17154","2-Acetylaminofluorene"
"HAPS","Hazardous Air Pollutants","16741","2-Acetylaminofluorene (TSP) STP"
"HAPS","Hazardous Air Pollutants","16527","2-Chloroacetophenone"
"HAPS","Hazardous Air Pollutants","43756","2-Nitropropane"
"HAPS","Hazardous Air Pollutants","17716","3,3'-Dichlorobenzidene (TSP) STP"
"HAPS","Hazardous Air Pollutants","16748","3,3'-Dimethoxybenzidine  (TSP) STP"
"HAPS","Hazardous Air Pollutants","17721","3,3-Dimethoxybenzidine"
"HAPS","Hazardous Air Pollutants","17723","3,3-Dimethylbenzidine"
"HAPS","Hazardous Air Pollutants","43335","3-Chloropropene"
"HAPS","Hazardous Air Pollutants","16749","3-Methylcholanthrene  (TSP) STP"
"HAPS","Hazardous Air Pollutants","17718","4,4-Methylene bis(2-Chloraniline)"
"HAPS","Hazardous Air Pollutants","45704","4,4-Methylenedianiline"
"HAPS","Hazardous Air Pollutants","45732","4,4-Methylenediphenyl Diisocyanate (MDI)"
"HAPS","Hazardous Air Pollutants","16751","4,6-Dinitro-2-methylphenol  (TSP) STP"
"HAPS","Hazardous Air Pollutants","17322","4,6-Dinitro-o-cresol including salts"
"HAPS","Hazardous Air Pollutants","17719","4-Aminobiphenyl"
"HAPS","Hazardous Air Pollutants","16752","4-Aminobiphenyl  (TSP) STP"
"HAPS","Hazardous Air Pollutants","17722","4-Dimethylaminoazobenzene"
"HAPS","Hazardous Air Pollutants","16757","4-Dimethylaminoazobenzene  (TSP) STP"
"HAPS","Hazardous Air Pollutants","17323","4-Nitrobiphenyl"
"HAPS","Hazardous Air Pollutants","17312","4-Nitrophenol"
"HAPS","Hazardous Air Pollutants","16759","4-Nitrophenol  (TSP) STP"
"HAPS","Hazardous Air Pollutants","16761","7,12-Dimethylbenz[a]anthracene  (TSP) STP"
"HAPS","Hazardous Air Pollutants","17147","Acenaphthene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17148","Acenaphthylene (TSP) STP"
"HAPS","Hazardous Air Pollutants","43503","Acetaldehyde"
"HAPS","Hazardous Air Pollutants","16717","Acetamide"
"HAPS","Hazardous Air Pollutants","43702","Acetonitrile"
"HAPS","Hazardous Air Pollutants","43565","Acetophenone"
"HAPS","Hazardous Air Pollutants","16762","Acetophenone  (TSP) STP"
"HAPS","Hazardous Air Pollutants","43505","Acrolein - Unverified"
"HAPS","Hazardous Air Pollutants","43509","Acrolein - Verified"
"HAPS","Hazardous Air Pollutants","16718","Acrylamide"
"HAPS","Hazardous Air Pollutants","16425","Acrylic Acid"
"HAPS","Hazardous Air Pollutants","43704","Acrylonitrile"
"HAPS","Hazardous Air Pollutants","45701","Aniline"
"HAPS","Hazardous Air Pollutants","16763","Aniline  (TSP) STP"
"HAPS","Hazardous Air Pollutants","17151","Anthracene (TSP) STP"
"HAPS","Hazardous Air Pollutants","22102","Antimony (SP)"
"HAPS","Hazardous Air Pollutants","14102","Antimony (TSP) LC"
"HAPS","Hazardous Air Pollutants","12102","Antimony (TSP) STP"
"HAPS","Hazardous Air Pollutants","65344","Antimony (precip)"
"HAPS","Hazardous Air Pollutants","11343","Antimony - 121 (TSP)"
"HAPS","Hazardous Air Pollutants","85102","Antimony PM10 LC"
"HAPS","Hazardous Air Pollutants","82102","Antimony PM10 STP"
"HAPS","Hazardous Air Pollutants","86102","Antimony PM10-2.5 LC"
"HAPS","Hazardous Air Pollutants","83102","Antimony PM10-2.5 STP"
"HAPS","Hazardous Air Pollutants","88102","Antimony PM2.5 LC"
"HAPS","Hazardous Air Pollutants","84102","Antimony PM2.5 STP"
"HAPS","Hazardous Air Pollutants","22103","Arsenic (SP)"
"HAPS","Hazardous Air Pollutants","14103","Arsenic (TSP) LC"
"HAPS","Hazardous Air Pollutants","12103","Arsenic (TSP) STP"
"HAPS","Hazardous Air Pollutants","65339","Arsenic (precip)"
"HAPS","Hazardous Air Pollutants","11344","Arsenic - 75 (TSP)"
"HAPS","Hazardous Air Pollutants","85103","Arsenic PM10 LC"
"HAPS","Hazardous Air Pollutants","82103","Arsenic PM10 STP"
"HAPS","Hazardous Air Pollutants","86103","Arsenic PM10-2.5 LC"
"HAPS","Hazardous Air Pollutants","83103","Arsenic PM10-2.5 STP"
"HAPS","Hazardous Air Pollutants","88103","Arsenic PM2.5 LC"
"HAPS","Hazardous Air Pollutants","84103","Arsenic PM2.5 STP"
"HAPS","Hazardous Air Pollutants","12803","Asbestos amphibole (TSP)"
"HAPS","Hazardous Air Pollutants","45201","Benzene"
"HAPS","Hazardous Air Pollutants","45115","Benzene & 1,2-dichloroethane"
"HAPS","Hazardous Air Pollutants","21103","Benzene Sol Org (SP)"
"HAPS","Hazardous Air Pollutants","11103","Benzene soluble organics (TSP)"
"HAPS","Hazardous Air Pollutants","17715","Benzidine"
"HAPS","Hazardous Air Pollutants","16765","Benzidine  (TSP) STP"
"HAPS","Hazardous Air Pollutants","82242","Benzo(a)Pyrene PM10 STP"
"HAPS","Hazardous Air Pollutants","82220","Benzo(b)Fluranthene PM10 STP"
"HAPS","Hazardous Air Pollutants","82237","Benzo(g,h,i)Perylene PM10 STP"
"HAPS","Hazardous Air Pollutants","82223","Benzo(k)Fluoranthene PM10 STP"
"HAPS","Hazardous Air Pollutants","17215","Benzo[a]anthracene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17242","Benzo[a]pyrene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17225","Benzo[b,k]fluoranthene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17220","Benzo[b]fluoranthene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17224","Benzo[e]pyrene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17237","Benzo[g,h,i]perylene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17223","Benzo[k]fluoranthene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17834","Benzotrichloride"
"HAPS","Hazardous Air Pollutants","45809","Benzyl chloride"
"HAPS","Hazardous Air Pollutants","14105","Beryllium (TSP) LC"
"HAPS","Hazardous Air Pollutants","12105","Beryllium (TSP) STP"
"HAPS","Hazardous Air Pollutants","65105","Beryllium (precip)"
"HAPS","Hazardous Air Pollutants","85105","Beryllium PM10 LC"
"HAPS","Hazardous Air Pollutants","82105","Beryllium PM10 STP"
"HAPS","Hazardous Air Pollutants","88105","Beryllium PM2.5 LC"
"HAPS","Hazardous Air Pollutants","45301","Biphenyl"
"HAPS","Hazardous Air Pollutants","16455","Bis(2-ethylhexyl)phthalate (DEHP)"
"HAPS","Hazardous Air Pollutants","43806","Bromoform"
"HAPS","Hazardous Air Pollutants","43819","Bromomethane"
"HAPS","Hazardous Air Pollutants","22110","Cadmium (SP)"
"HAPS","Hazardous Air Pollutants","14110","Cadmium (TSP) LC"
"HAPS","Hazardous Air Pollutants","12110","Cadmium (TSP) STP"
"HAPS","Hazardous Air Pollutants","65332","Cadmium (precip)"
"HAPS","Hazardous Air Pollutants","85110","Cadmium PM10 LC"
"HAPS","Hazardous Air Pollutants","82110","Cadmium PM10 STP"
"HAPS","Hazardous Air Pollutants","86110","Cadmium PM10-2.5 LC"
"HAPS","Hazardous Air Pollutants","83110","Cadmium PM10-2.5 STP"
"HAPS","Hazardous Air Pollutants","88110","Cadmium PM2.5 LC"
"HAPS","Hazardous Air Pollutants","84110","Cadmium PM2.5 STP"
"HAPS","Hazardous Air Pollutants","53503","Calcium Cyanamide"
"HAPS","Hazardous Air Pollutants","53401","Captan"
"HAPS","Hazardous Air Pollutants","51506","Carbaryl"
"HAPS","Hazardous Air Pollutants","16772","Carbazole (TSP) STP"
"HAPS","Hazardous Air Pollutants","42153","Carbon disulfide"
"HAPS","Hazardous Air Pollutants","43804","Carbon tetrachloride"
"HAPS","Hazardous Air Pollutants","43933","Carbonyl Sulfide"
"HAPS","Hazardous Air Pollutants","17317","Catechol"
"HAPS","Hazardous Air Pollutants","51104","Chloradane"
"HAPS","Hazardous Air Pollutants","51119","Chloramben"
"HAPS","Hazardous Air Pollutants","42215","Chlorine"
"HAPS","Hazardous Air Pollutants","13115","Chlorine (TSP)"
"HAPS","Hazardous Air Pollutants","12191","Chlorine (TSP) STP"
"HAPS","Hazardous Air Pollutants","85115","Chlorine PM10 LC"
"HAPS","Hazardous Air Pollutants","82115","Chlorine PM10 STP"
"HAPS","Hazardous Air Pollutants","86115","Chlorine PM10-2.5 LC"
"HAPS","Hazardous Air Pollutants","83115","Chlorine PM10-2.5 STP"
"HAPS","Hazardous Air Pollutants","88115","Chlorine PM2.5 LC"
"HAPS","Hazardous Air Pollutants","84115","Chlorine PM2.5 STP"
"HAPS","Hazardous Air Pollutants","16411","Chloroacetic Acid"
"HAPS","Hazardous Air Pollutants","45801","Chlorobenzene"
"HAPS","Hazardous Air Pollutants","52202","Chlorobenzilate"
"HAPS","Hazardous Air Pollutants","16773","Chlorobenzilate  (TSP) STP"
"HAPS","Hazardous Air Pollutants","43812","Chloroethane"
"HAPS","Hazardous Air Pollutants","43803","Chloroform"
"HAPS","Hazardous Air Pollutants","43801","Chloromethane"
"HAPS","Hazardous Air Pollutants","16365","Chloromethyl Methyl Ether"
"HAPS","Hazardous Air Pollutants","43835","Chloroprene"
"HAPS","Hazardous Air Pollutants","65112","Chromium (Precip)"
"HAPS","Hazardous Air Pollutants","22112","Chromium (SP)"
"HAPS","Hazardous Air Pollutants","14112","Chromium (TSP) LC"
"HAPS","Hazardous Air Pollutants","12112","Chromium (TSP) STP"
"HAPS","Hazardous Air Pollutants","11345","Chromium - 50 (TSP)"
"HAPS","Hazardous Air Pollutants","11346","Chromium - 52 (TSP)"
"HAPS","Hazardous Air Pollutants","11347","Chromium - 53 (TSP)"
"HAPS","Hazardous Air Pollutants","85112","Chromium PM10 LC"
"HAPS","Hazardous Air Pollutants","82112","Chromium PM10 STP"
"HAPS","Hazardous Air Pollutants","86112","Chromium PM10-2.5 LC"
"HAPS","Hazardous Air Pollutants","83112","Chromium PM10-2.5 STP"
"HAPS","Hazardous Air Pollutants","88112","Chromium PM2.5 LC"
"HAPS","Hazardous Air Pollutants","84112","Chromium PM2.5 STP"
"HAPS","Hazardous Air Pollutants","14115","Chromium VI (TSP) LC"
"HAPS","Hazardous Air Pollutants","12115","Chromium VI (TSP) STP"
"HAPS","Hazardous Air Pollutants","85119","Chromium VI PM10 LC"
"HAPS","Hazardous Air Pollutants","82119","Chromium VI PM10 STP"
"HAPS","Hazardous Air Pollutants","88119","Chromium VI PM2.5 LC"
"HAPS","Hazardous Air Pollutants","17208","Chrysene (TSP) STP"
"HAPS","Hazardous Air Pollutants","14113","Cobalt (TSP) LC"
"HAPS","Hazardous Air Pollutants","12113","Cobalt (TSP) STP"
"HAPS","Hazardous Air Pollutants","65113","Cobalt (precip)"
"HAPS","Hazardous Air Pollutants","11348","Cobalt - 59 (TSP)"
"HAPS","Hazardous Air Pollutants","85113","Cobalt PM10 LC"
"HAPS","Hazardous Air Pollutants","82113","Cobalt PM10 STP"
"HAPS","Hazardous Air Pollutants","86113","Cobalt PM10-2.5 LC"
"HAPS","Hazardous Air Pollutants","83113","Cobalt PM10-2.5 STP"
"HAPS","Hazardous Air Pollutants","88113","Cobalt PM2.5 LC"
"HAPS","Hazardous Air Pollutants","84113","Cobalt PM2.5 STP"
"HAPS","Hazardous Air Pollutants","17200","Coke oven emissions"
"HAPS","Hazardous Air Pollutants","17211","Coronene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17320","Cresol/Cresylic acid (mixed isomers)"
"HAPS","Hazardous Air Pollutants","12349","Cyanide compounds"
"HAPS","Hazardous Air Pollutants","51118","DDE"
"HAPS","Hazardous Air Pollutants","16229","DIAZOMETHANE"
"HAPS","Hazardous Air Pollutants","16777","Di-n-butyl phthalate  (TSP) STP"
"HAPS","Hazardous Air Pollutants","82151","Dibenz(A-H)Anthracene PM10 STP"
"HAPS","Hazardous Air Pollutants","17231","Dibenzo[a,h]anthracene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17902","Dibenzo[b,e][1,4]dioxin,2,3,7,8-tetrachloro (TSP) STP"
"HAPS","Hazardous Air Pollutants","18202","Dibenzofuran (TSP) STP"
"HAPS","Hazardous Air Pollutants","43455","Dibutyl Phthalate"
"HAPS","Hazardous Air Pollutants","43352","Dichloroethyl ether"
"HAPS","Hazardous Air Pollutants","43802","Dichloromethane"
"HAPS","Hazardous Air Pollutants","51307","Dichlorvos"
"HAPS","Hazardous Air Pollutants","16709","Diethanolamine"
"HAPS","Hazardous Air Pollutants","16909","Diethyl Sulfate"
"HAPS","Hazardous Air Pollutants","43454","Dimethyl Formamide"
"HAPS","Hazardous Air Pollutants","43519","Dimethyl Phthalate"
"HAPS","Hazardous Air Pollutants","16825","Dimethyl carbamoyl chloride"
"HAPS","Hazardous Air Pollutants","16776","Dimethyl phthalate  (TSP) STP"
"HAPS","Hazardous Air Pollutants","16231","Dimethyl sulfate"
"HAPS","Hazardous Air Pollutants","43607","Epichlorohydrin"
"HAPS","Hazardous Air Pollutants","16901","Epichlorohydrin(DUP)"
"HAPS","Hazardous Air Pollutants","16719","Ethelene Thiourea"
"HAPS","Hazardous Air Pollutants","43438","Ethyl acrylate"
"HAPS","Hazardous Air Pollutants","16233","Ethyl carbamate (Urethane)"
"HAPS","Hazardous Air Pollutants","45203","Ethylbenzene"
"HAPS","Hazardous Air Pollutants","43370","Ethylene Glycol"
"HAPS","Hazardous Air Pollutants","43773","Ethylene Imine (Aziridine)"
"HAPS","Hazardous Air Pollutants","43843","Ethylene dibromide"
"HAPS","Hazardous Air Pollutants","43815","Ethylene dichloride"
"HAPS","Hazardous Air Pollutants","43601","Ethylene oxide"
"HAPS","Hazardous Air Pollutants","17201","Fluoranthene (TSP) STP"
"HAPS","Hazardous Air Pollutants","17149","Fluorene (TSP) STP"
"HAPS","Hazardous Air Pollutants","43502","Formaldehyde"
"HAPS","Hazardous Air Pollutants","16363","Glycol ethers"
"HAPS","Hazardous Air Pollutants","43170","Heptachlor"
"HAPS","Hazardous Air Pollutants","51109","Heptachlor "
"HAPS","Hazardous Air Pollutants","17804","Hexachlorobenzene (TSP) STP"
"HAPS","Hazardous Air Pollutants","43844","Hexachlorobutadiene"
"HAPS","Hazardous Air Pollutants","16782","Hexachlorobutadiene  (TSP) STP"
"HAPS","Hazardous Air Pollutants","16826","Hexachlorocyclopentadiene (TSP) STP"
"HAPS","Hazardous Air Pollutants","16807","Hexachloroethane (TSP) STP"
"HAPS","Hazardous Air Pollutants","16714","Hexamethylene diisocyanate"
"HAPS","Hazardous Air Pollutants","16720","Hexamethylphosphoramide"
"HAPS","Hazardous Air Pollutants","42606","Hydrazine"
"HAPS","Hazardous Air Pollutants","42302","Hydrochloric acid"
"HAPS","Hazardous Air Pollutants","42303","Hydrofluoric acid"
"HAPS","Hazardous Air Pollutants","17316","Hydroquinone"
"HAPS","Hazardous Air Pollutants","82243","Indeno[1,2,3-cd] pyrene PM10 STP"
"HAPS","Hazardous Air Pollutants","17243","Indeno[1,2,3-cd]pyrene (TSP) STP"
"HAPS","Hazardous Air Pollutants","16914","Isophorone (TSP) STP"
"HAPS","Hazardous Air Pollutants","45210","Isopropylbenzene"
"HAPS","Hazardous Air Pollutants","22128","Lead (SP)"
"HAPS","Hazardous Air Pollutants","14129","Lead (TSP) LC"
"HAPS","Hazardous Air Pollutants","14128","Lead (TSP) LC Non-FRM/FEM"
"HAPS","Hazardous Air Pollutants","12128","Lead (TSP) STP"
"HAPS","Hazardous Air Pollutants","65337","Lead (precip)"
"HAPS","Hazardous Air Pollutants","11351","Lead - 208 (TSP)"
"HAPS","Hazardous Air Pollutants","85128","Lead PM10 LC"
"HAPS","Hazardous Air Pollutants","85129","Lead PM10 LC FRM/FEM"
"HAPS","Hazardous Air Pollutants","82128","Lead PM10 STP"
"HAPS","Hazardous Air Pollutants","86128","Lead PM10-2.5 LC"
"HAPS","Hazardous Air Pollutants","83128","Lead PM10-2.5 STP"
"HAPS","Hazardous Air Pollutants","88128","Lead PM2.5 LC"
"HAPS","Hazardous Air Pollutants","84128","Lead PM2.5 STP"
"HAPS","Hazardous Air Pollutants","12129","Lead-210 (TSP) STP"
"HAPS","Hazardous Air Pollutants","43137","Lindane"
"HAPS","Hazardous Air Pollutants","16452","Maleic Anhydride"
"HAPS","Hazardous Air Pollutants","22132","Manganese (SP)"
"HAPS","Hazardous Air Pollutants","14132","Manganese (TSP) LC"
"HAPS","Hazardous Air Pollutants","12132","Manganese (TSP) STP"
"HAPS","Hazardous Air Pollutants","65335","Manganese (precip)"
"HAPS","Hazardous Air Pollutants","11352","Manganese - 55 (TSP)"
"HAPS","Hazardous Air Pollutants","85132","Manganese PM10 LC"
"HAPS","Hazardous Air Pollutants","82132","Manganese PM10 STP"
"HAPS","Hazardous Air Pollutants","86132","Manganese PM10-2.5 LC"
"HAPS","Hazardous Air Pollutants","83132","Manganese PM10-2.5 STP"
"HAPS","Hazardous Air Pollutants","88132","Manganese PM2.5 LC"
"HAPS","Hazardous Air Pollutants","84132","Manganese PM2.5 STP"
"HAPS","Hazardous Air Pollutants","22142","Mercury (SP)"
"HAPS","Hazardous Air Pollutants","14142","Mercury (TSP) LC"
"HAPS","Hazardous Air Pollutants","12142","Mercury (TSP) STP"
"HAPS","Hazardous Air Pollutants","65429","Mercury (deposition)"
"HAPS","Hazardous Air Pollutants","65329","Mercury (precip)"
"HAPS","Hazardous Air Pollutants","42242","Mercury (vapor)"
"HAPS","Hazardous Air Pollutants","85142","Mercury PM10 LC"
"HAPS","Hazardous Air Pollutants","82142","Mercury PM10 STP"
"HAPS","Hazardous Air Pollutants","83142","Mercury PM10-2.5 STP"
"HAPS","Hazardous Air Pollutants","88142","Mercury PM2.5 LC"
"HAPS","Hazardous Air Pollutants","84142","Mercury PM2.5 STP"
"HAPS","Hazardous Air Pollutants","92142","Mercury compounds"
"HAPS","Hazardous Air Pollutants","43301","Methanol"
"HAPS","Hazardous Air Pollutants","43153","Methoxychlor"
"HAPS","Hazardous Air Pollutants","43808","Methyl Iodide"
"HAPS","Hazardous Air Pollutants","16235","Methyl Isocyanate"
"HAPS","Hazardous Air Pollutants","43814","Methyl chloroform"
"HAPS","Hazardous Air Pollutants","16234","Methyl hydrazine"
"HAPS","Hazardous Air Pollutants","43560","Methyl isobutyl ketone"
"HAPS","Hazardous Air Pollutants","43441","Methyl methacrylate"
"HAPS","Hazardous Air Pollutants","43372","Methyl tert-butyl ether"
"HAPS","Hazardous Air Pollutants","17720","N,N-Dimehtylaniline"
