"Class Code","Class Name","Parameter Code","Parameter"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43509","Acrolein - Verified"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43704","Acrylonitrile"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17151","Anthracene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45201","Benzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45228","Benzene, 1-ethenyl-4-methyl"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17215","Benzo[a]anthracene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17242","Benzo[a]pyrene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17220","Benzo[b]fluoranthene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17224","Benzo[e]pyrene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17237","Benzo[g,h,i]perylene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17223","Benzo[k]fluoranthene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45809","Benzyl chloride"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43836","Bromochloromethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43828","Bromodichloromethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43806","Bromoform"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43819","Bromomethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","42153","Carbon disulfide"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43804","Carbon tetrachloride"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","45801","Chlorobenzene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43812","Chloroethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43803","Chloroform"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43801","Chloromethane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43835","Chloroprene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17208","Chrysene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17211","Coronene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43248","Cyclohexane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17160","Cyclopenta[cd]pyrene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43242","Cyclopentane"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43283","Cyclopentene"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","17231","Dibenzo[a,h]anthracene (TSP) STP"
"BP OIL","Compounds Measured for the BP Oil Spill in the Gulf of Mexico","43832","Dibromochloromethane"
