"CBSA Code","CBSA Name","CBSA Type"
"16100","Carlsbad-Artesia, NM","Micropolitan"
"16180","Carson City, NV","Metropolitan"
"16220","Casper, WY","Metropolitan"
"15860","Ca¤on City, CO","Micropolitan"
"16260","Cedar City, UT","Micropolitan"
"16300","Cedar Rapids, IA","Metropolitan"
"16340","Cedartown, GA","Micropolitan"
"16380","Celina, OH","Micropolitan"
"16460","Centralia, IL","Micropolitan"
"16500","Centralia, WA","Micropolitan"
"16540","Chambersburg-Waynesboro, PA","Metropolitan"
"16580","Champaign-Urbana, IL","Metropolitan"
"16620","Charleston, WV","Metropolitan"
"16660","Charleston-Mattoon, IL","Micropolitan"
"16700","Charleston-North Charleston, SC","Metropolitan"
"16740","Charlotte-Concord-Gastonia, NC-SC","Metropolitan"
"16820","Charlottesville, VA","Metropolitan"
"16860","Chattanooga, TN-GA","Metropolitan"
"16940","Cheyenne, WY","Metropolitan"
"16980","Chicago-Naperville-Elgin, IL-IN-WI","Metropolitan"
"17020","Chico, CA","Metropolitan"
"17060","Chillicothe, OH","Micropolitan"
"17140","Cincinnati, OH-KY-IN","Metropolitan"
"17200","Claremont-Lebanon, NH-VT","Micropolitan"
"17220","Clarksburg, WV","Micropolitan"
"17260","Clarksdale, MS","Micropolitan"
"17300","Clarksville, TN-KY","Metropolitan"
"17340","Clearlake, CA","Micropolitan"
"17380","Cleveland, MS","Micropolitan"
"17420","Cleveland, TN","Metropolitan"
"17460","Cleveland-Elyria, OH","Metropolitan"
"17500","Clewiston, FL","Micropolitan"
"17540","Clinton, IA","Micropolitan"
"17580","Clovis, NM","Micropolitan"
"17620","Coamo, PR","Micropolitan"
"17640","Coco, PR","Micropolitan"
"17660","Coeur d'Alene, ID","Metropolitan"
"17700","Coffeyville, KS","Micropolitan"
"17740","Coldwater, MI","Micropolitan"
"17780","College Station-Bryan, TX","Metropolitan"
"17820","Colorado Springs, CO","Metropolitan"
"17860","Columbia, MO","Metropolitan"
"17900","Columbia, SC","Metropolitan"
"17980","Columbus, GA-AL","Metropolitan"
"18020","Columbus, IN","Metropolitan"
"18060","Columbus, MS","Micropolitan"
"18100","Columbus, NE","Micropolitan"
"18140","Columbus, OH","Metropolitan"
"18180","Concord, NH","Micropolitan"
"18220","Connersville, IN","Micropolitan"
"18260","Cookeville, TN","Micropolitan"
"18300","Coos Bay, OR","Micropolitan"
"18380","Cordele, GA","Micropolitan"
"18420","Corinth, MS","Micropolitan"
"18460","Cornelia, GA","Micropolitan"
"18500","Corning, NY","Micropolitan"
