"Parameter","Parameter Code","Duration Code","Duration Description","AQI Category","Low AQI","High AQI","Low Breakpoint","High Breakpoint"
"Nitrogen dioxide (NO2)","42602","1","1 HOUR","MODERATE",51,100,54.0,100.0
"Nitrogen dioxide (NO2)","42602","1","1 HOUR","UNHEALTHY FOR SENSITIVE",101,150,101.0,360.0
"Nitrogen dioxide (NO2)","42602","1","1 HOUR","UNHEALTHY",151,200,361.0,649.0
"Nitrogen dioxide (NO2)","42602","1","1 HOUR","VERY UNHEALTHY",201,300,650.0,1249.0
"Nitrogen dioxide (NO2)","42602","1","1 HOUR","HAZARDOUS",301,400,1250.0,1649.0
"Nitrogen dioxide (NO2)","42602","1","1 HOUR","HAZARDOUS",401,500,1650.0,2049.0
"Nitrogen dioxide (NO2)","42602","1","1 HOUR","HAZARDOUS",501,999,2050.0,99999.0
"Ozone","44201","1","1 HOUR","NONE",-1,-1,0.0,0.124
"Ozone","44201","1","1 HOUR","UNHEALTHY FOR SENSITIVE",101,150,0.125,0.164
"Ozone","44201","1","1 HOUR","UNHEALTHY",151,200,0.165,0.204
"Ozone","44201","1","1 HOUR","VERY UNHEALTHY",201,300,0.205,0.404
"Ozone","44201","1","1 HOUR","HAZARDOUS",301,400,0.405,0.504
"Ozone","44201","1","1 HOUR","HAZARDOUS",401,500,0.505,0.604
"Ozone","44201","1","1 HOUR","HAZARDOUS",501,999,0.605,99999.0
"Ozone","44201","W","8-HR RUN AVG BEGIN HOUR","NONE",-1,-1,0.505,99999.0
"Ozone","44201","W","8-HR RUN AVG BEGIN HOUR","GOOD",0,50,0.0,0.054
"Ozone","44201","W","8-HR RUN AVG BEGIN HOUR","MODERATE",51,100,0.055,0.07
"Ozone","44201","W","8-HR RUN AVG BEGIN HOUR","UNHEALTHY FOR SENSITIVE",101,150,0.071,0.085
"Ozone","44201","W","8-HR RUN AVG BEGIN HOUR","UNHEALTHY",151,200,0.086,0.105
"Ozone","44201","W","8-HR RUN AVG BEGIN HOUR","VERY UNHEALTHY",201,300,0.106,0.2
"PM10 Total 0-10um STP","81102","7","24 HOUR","GOOD",0,50,0.0,54.0
"PM10 Total 0-10um STP","81102","7","24 HOUR","MODERATE",51,100,55.0,154.0
"PM10 Total 0-10um STP","81102","7","24 HOUR","UNHEALTHY FOR SENSITIVE",101,150,155.0,254.0
"PM10 Total 0-10um STP","81102","7","24 HOUR","UNHEALTHY",151,200,255.0,354.0
"PM10 Total 0-10um STP","81102","7","24 HOUR","VERY UNHEALTHY",201,300,355.0,424.0
"PM10 Total 0-10um STP","81102","7","24 HOUR","HAZARDOUS",301,400,425.0,504.0
"PM10 Total 0-10um STP","81102","7","24 HOUR","HAZARDOUS",401,500,505.0,604.0
"PM10 Total 0-10um STP","81102","7","24 HOUR","HAZARDOUS",501,999,605.0,99999.0
"PM10 Total 0-10um STP","81102","X","24-HR BLK AVG","GOOD",0,50,0.0,54.0
"PM10 Total 0-10um STP","81102","X","24-HR BLK AVG","MODERATE",51,100,55.0,154.0
"PM10 Total 0-10um STP","81102","X","24-HR BLK AVG","UNHEALTHY FOR SENSITIVE",101,150,155.0,254.0
"PM10 Total 0-10um STP","81102","X","24-HR BLK AVG","UNHEALTHY",151,200,255.0,354.0
"PM10 Total 0-10um STP","81102","X","24-HR BLK AVG","VERY UNHEALTHY",201,300,355.0,424.0
"PM10 Total 0-10um STP","81102","X","24-HR BLK AVG","HAZARDOUS",301,400,425.0,504.0
"PM10 Total 0-10um STP","81102","X","24-HR BLK AVG","HAZARDOUS",401,500,505.0,604.0
"PM10 Total 0-10um STP","81102","X","24-HR BLK AVG","HAZARDOUS",501,999,605.0,99999.0
"PM2.5 - Local Conditions","88101","7","24 HOUR","GOOD",0,50,0.0,12.0
"PM2.5 - Local Conditions","88101","7","24 HOUR","MODERATE",51,100,12.1,35.4
"PM2.5 - Local Conditions","88101","7","24 HOUR","UNHEALTHY FOR SENSITIVE",101,150,35.5,55.4
"PM2.5 - Local Conditions","88101","7","24 HOUR","UNHEALTHY",151,200,55.5,150.4
"PM2.5 - Local Conditions","88101","7","24 HOUR","VERY UNHEALTHY",201,300,150.5,250.4
"PM2.5 - Local Conditions","88101","7","24 HOUR","HAZARDOUS",301,400,250.5,350.4
"PM2.5 - Local Conditions","88101","7","24 HOUR","HAZARDOUS",401,500,350.5,500.4
"PM2.5 - Local Conditions","88101","7","24 HOUR","HAZARDOUS",501,999,500.5,99999.9
"PM2.5 - Local Conditions","88101","X","24-HR BLK AVG","GOOD",0,50,0.0,12.0
"PM2.5 - Local Conditions","88101","X","24-HR BLK AVG","MODERATE",51,100,12.1,35.4
"PM2.5 - Local Conditions","88101","X","24-HR BLK AVG","UNHEALTHY FOR SENSITIVE",101,150,35.5,55.4
